ENSMUSG00000000001	441
ENSMUSG00000000003	0
ENSMUSG00000000028	33
ENSMUSG00000000031	20431
ENSMUSG00000000037	9
ENSMUSG00000000049	1
ENSMUSG00000000056	3046
ENSMUSG00000000058	882
ENSMUSG00000000078	636
ENSMUSG00000000085	627
ENSMUSG00000000088	3320
ENSMUSG00000000093	73
ENSMUSG00000000094	39
ENSMUSG00000000103	0
ENSMUSG00000000120	79
ENSMUSG00000000125	0
ENSMUSG00000000126	205
ENSMUSG00000000127	208
ENSMUSG00000000131	738
ENSMUSG00000000134	238
ENSMUSG00000000142	208
ENSMUSG00000000148	115
ENSMUSG00000000149	576
ENSMUSG00000000154	7
ENSMUSG00000000157	0
ENSMUSG00000000159	0
ENSMUSG00000000167	9
ENSMUSG00000000168	4267
ENSMUSG00000000171	3242
ENSMUSG00000000182	0
ENSMUSG00000000183	110
ENSMUSG00000000184	681
ENSMUSG00000000194	700
ENSMUSG00000000197	8
ENSMUSG00000000202	1
ENSMUSG00000000204	8
ENSMUSG00000000214	11
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	293
ENSMUSG00000000244	2
ENSMUSG00000000247	8
ENSMUSG00000000248	1
ENSMUSG00000000253	1866
ENSMUSG00000000263	0
ENSMUSG00000000266	221
ENSMUSG00000000275	279
ENSMUSG00000000276	218
ENSMUSG00000000278	173
ENSMUSG00000000282	214
ENSMUSG00000000290	46
ENSMUSG00000000295	80
ENSMUSG00000000296	256
ENSMUSG00000000301	14
ENSMUSG00000000303	18
ENSMUSG00000000305	951
ENSMUSG00000000308	2
ENSMUSG00000000317	205
ENSMUSG00000000318	80
ENSMUSG00000000320	60
ENSMUSG00000000325	316
ENSMUSG00000000326	533
ENSMUSG00000000339	283
ENSMUSG00000000340	800
ENSMUSG00000000346	1155
ENSMUSG00000000355	344
ENSMUSG00000000359	37
ENSMUSG00000000365	0
ENSMUSG00000000374	1192
ENSMUSG00000000378	229
ENSMUSG00000000381	0
ENSMUSG00000000384	702
ENSMUSG00000000385	1
ENSMUSG00000000386	0
ENSMUSG00000000392	186
ENSMUSG00000000394	0
ENSMUSG00000000399	3308
ENSMUSG00000000402	9
ENSMUSG00000000409	0
ENSMUSG00000000411	0
ENSMUSG00000000416	31
ENSMUSG00000000420	2062
ENSMUSG00000000435	19
ENSMUSG00000000439	779
ENSMUSG00000000440	113
ENSMUSG00000000441	1281
ENSMUSG00000000486	19
ENSMUSG00000000489	393
ENSMUSG00000000530	244
ENSMUSG00000000531	103
ENSMUSG00000000532	984
ENSMUSG00000000538	1646
ENSMUSG00000000544	0
ENSMUSG00000000552	512
ENSMUSG00000000555	356
ENSMUSG00000000560	0
ENSMUSG00000000561	344
ENSMUSG00000000562	0
ENSMUSG00000000563	8244
ENSMUSG00000000567	66
ENSMUSG00000000568	1420
ENSMUSG00000000579	1
ENSMUSG00000000581	764
ENSMUSG00000000594	348
ENSMUSG00000000600	547
ENSMUSG00000000605	1154
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	2
ENSMUSG00000000628	7247
ENSMUSG00000000631	6312
ENSMUSG00000000632	0
ENSMUSG00000000673	2
ENSMUSG00000000682	6
ENSMUSG00000000686	12
ENSMUSG00000000690	19
ENSMUSG00000000693	77
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	2021
ENSMUSG00000000711	1565
ENSMUSG00000000724	2
ENSMUSG00000000730	0
ENSMUSG00000000731	0
ENSMUSG00000000732	42
ENSMUSG00000000738	1355
ENSMUSG00000000739	27
ENSMUSG00000000740	1695
ENSMUSG00000000743	696
ENSMUSG00000000751	1392
ENSMUSG00000000753	1149
ENSMUSG00000000759	248
ENSMUSG00000000766	0
ENSMUSG00000000776	247
ENSMUSG00000000782	11
ENSMUSG00000000787	7212
ENSMUSG00000000791	0
ENSMUSG00000000792	2
ENSMUSG00000000794	128
ENSMUSG00000000804	476
ENSMUSG00000000805	53
ENSMUSG00000000811	77
ENSMUSG00000000817	0
ENSMUSG00000000823	681
ENSMUSG00000000826	1349
ENSMUSG00000000827	594
ENSMUSG00000000838	410
ENSMUSG00000000861	3
ENSMUSG00000000869	0
ENSMUSG00000000876	329
ENSMUSG00000000881	58
ENSMUSG00000000884	33
ENSMUSG00000000889	0
ENSMUSG00000000901	47
ENSMUSG00000000902	283
ENSMUSG00000000903	0
ENSMUSG00000000915	166
ENSMUSG00000000916	114
ENSMUSG00000000934	213
ENSMUSG00000000938	357
ENSMUSG00000000942	37
ENSMUSG00000000948	75
ENSMUSG00000000957	290
ENSMUSG00000000958	15
ENSMUSG00000000959	725
ENSMUSG00000000976	427
ENSMUSG00000000982	2
ENSMUSG00000000983	4
ENSMUSG00000001014	0
ENSMUSG00000001016	435
ENSMUSG00000001017	1619
ENSMUSG00000001018	911
ENSMUSG00000001020	30
ENSMUSG00000001021	0
ENSMUSG00000001023	2
ENSMUSG00000001025	519
ENSMUSG00000001027	11799
ENSMUSG00000001029	81
ENSMUSG00000001034	87
ENSMUSG00000001036	778
ENSMUSG00000001039	24
ENSMUSG00000001052	576
ENSMUSG00000001053	69
ENSMUSG00000001054	144
ENSMUSG00000001056	148
ENSMUSG00000001062	226
ENSMUSG00000001065	160
ENSMUSG00000001076	0
ENSMUSG00000001082	32
ENSMUSG00000001089	723
ENSMUSG00000001095	0
ENSMUSG00000001098	231
ENSMUSG00000001100	1385
ENSMUSG00000001103	1
ENSMUSG00000001105	227
ENSMUSG00000001119	2544
ENSMUSG00000001120	22
ENSMUSG00000001123	184
ENSMUSG00000001127	1388
ENSMUSG00000001128	86
ENSMUSG00000001131	27
ENSMUSG00000001134	145
ENSMUSG00000001138	279
ENSMUSG00000001143	464
ENSMUSG00000001150	578
ENSMUSG00000001151	2443
ENSMUSG00000001155	4
ENSMUSG00000001156	90
ENSMUSG00000001157	93
ENSMUSG00000001158	761
ENSMUSG00000001166	7
ENSMUSG00000001168	0
ENSMUSG00000001173	625
ENSMUSG00000001175	12742
ENSMUSG00000001211	2063
ENSMUSG00000001225	0
ENSMUSG00000001227	72
ENSMUSG00000001228	28
ENSMUSG00000001229	899
ENSMUSG00000001240	249
ENSMUSG00000001247	12
ENSMUSG00000001248	615
ENSMUSG00000001249	138
ENSMUSG00000001260	4
ENSMUSG00000001270	116
ENSMUSG00000001280	872
ENSMUSG00000001281	15
ENSMUSG00000001285	105
ENSMUSG00000001288	268
ENSMUSG00000001289	803
ENSMUSG00000001300	299
ENSMUSG00000001305	128
ENSMUSG00000001313	30
ENSMUSG00000001323	299
ENSMUSG00000001333	493
ENSMUSG00000001334	1516
ENSMUSG00000001348	124
ENSMUSG00000001349	23
ENSMUSG00000001366	631
ENSMUSG00000001376	630
ENSMUSG00000001380	464
ENSMUSG00000001383	653
ENSMUSG00000001403	160
ENSMUSG00000001415	1292
ENSMUSG00000001416	1092
ENSMUSG00000001418	278
ENSMUSG00000001419	4376
ENSMUSG00000001420	28
ENSMUSG00000001424	838
ENSMUSG00000001435	315
ENSMUSG00000001436	66
ENSMUSG00000001440	2239
ENSMUSG00000001441	1926
ENSMUSG00000001444	21
ENSMUSG00000001445	439
ENSMUSG00000001467	148
ENSMUSG00000001472	3063
ENSMUSG00000001473	312
ENSMUSG00000001482	869
ENSMUSG00000001493	54
ENSMUSG00000001494	0
ENSMUSG00000001496	0
ENSMUSG00000001497	4
ENSMUSG00000001504	2
ENSMUSG00000001506	10875
ENSMUSG00000001507	154
ENSMUSG00000001508	1935
ENSMUSG00000001510	2
ENSMUSG00000001517	16
ENSMUSG00000001518	134
ENSMUSG00000001520	67
ENSMUSG00000001521	170
ENSMUSG00000001524	132
ENSMUSG00000001525	988
ENSMUSG00000001542	687
ENSMUSG00000001552	1500
ENSMUSG00000001555	120
ENSMUSG00000001558	5
ENSMUSG00000001566	0
ENSMUSG00000001569	456
ENSMUSG00000001576	799
ENSMUSG00000001583	2
ENSMUSG00000001588	11
ENSMUSG00000001604	2213
ENSMUSG00000001622	0
ENSMUSG00000001627	870
ENSMUSG00000001630	297
ENSMUSG00000001632	324
ENSMUSG00000001642	1453
